icao,le_ident,he_ident,le_lat,le_lon,he_lat,he_lon,le_displaced_ft,he_displaced_ft
COL2,09,27,43.916214,-80.209185,43.917442,-80.202173,0,0
CPB5,12,30,50.46213155,-104.433423,50.45929445,-104.42771918,0,0
CPE4,17,35,43.44801817,-80.23478849,43.43814252,-80.23091881,700.0,565.0
CPE6,12,30,45.82408039,-79.33052152,45.82126293,-79.32096712,0,0
CPE6,4,22,45.81818763,-79.32792944,45.82519252,-79.32042336,0,0
CPF4,01,19,45.59277963,-76.83296929,45.5978612,-76.83258293,400,0
CPF4,10,28,45.59598638,-76.83831918,45.59453801,-76.8296891,200,400
CPG4,09,27,43.5937364,-80.51531627,43.5939045,-80.50849693,33,249
CPG5,09,27,45.58310175,-74.55432588,45.58285528,-74.54393718,230,279
CPL3,08,26,45.101009,-75.63418818,45.10516888,-75.62169507,0,0
CPR2,08,26,45.23807358,-75.30599389,45.24147702,-75.29752069,0,0
CPR7,13,31,43.87080002,-81.30470276,43.86529922,-81.29190063,0.0,0.0
CPS2,06,24,44.24984379,-78.11002221,44.25495802,-78.1019947,0,0
CPT3,03,21,43.31910201,-80.17875795,43.32515031,-80.1739906,499,600
CPT3,10,28,43.32009884,-80.17951762,43.31990717,-80.17309375,299,400
CPT3,18,36,43.32572013,-80.17691055,43.318563,-80.17620792,650,249
CPU6,06,24,44.18201751,-77.1141863,44.18772492,-77.10595983,0,0
CPU6,09,27,44.182054,-77.114303,44.18394435,-77.09823412,390.0,0.0
CPU6,15,33,44.18684415,-77.1076624,44.18192277,-77.10106119,150.0,0.0
CPV2,09,27,43.9578135,-80.15915476,43.95937862,-80.15105784,0,0
CPV9,15,33,50.04003906,-107.25505829,50.03586578,-107.25306702,0.0,0.0
CRF5,08,26,52.28024292,-106.69081116,52.2803154,-106.67736816,0.0,0.0
CSC3,06,24,45.8373317,-72.4053558,45.84987361,-72.38992909,0.0,0.0
CSD4,08,26,46.56226684,-75.58337705,46.56722307,-75.56914277,200.0,0.0
CSE5,08,26,46.99940109,-70.52110291,47.00329971,-70.51059723,0.0,0.0
CSF3,17,35,51.89340609,-65.71875524,51.88351351,-65.71081614,0,0
CSG3,15,33,46.04779816,-73.50610352,46.04169846,-73.49690247,0.0,0.0
CSG5,02,20,46.68099976,-71.15190125,46.6894989,-71.15139771,300.0,0.0
CSG5,06,24,46.68919372,-71.15192783,46.69431655,-71.14413035,151,0
CSH2,07,25,47.07075104,-70.53585511,47.07376487,-70.53089574,0,0
CSH4,15,33,49.0339616,-77.02248343,49.0255501,-77.01040393,0.0,0.0
CSJ4,09,27,46.24500852,-72.91271298,46.24652079,-72.90100297,0.0,0.0
CSL3,03,21,46.6189003,-72.63330078,46.62670135,-72.63059998,0.0,0.0
